run_tag,model,model_label,model_size_b,engine,series_label,gpu_name,workflow_mode,agent,step_count,success_rate,avg_step_latency_ms,p50_step_latency_ms,p95_step_latency_ms,avg_tokens_per_second
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,concurrent,planner,2,1.0,32352.5280226022,32352.5280226022,33442.5211397931,20.885070468785052
a100-vllm-qwen3-32b-official,Qwen/Qwen3-32B,Qwen3 32B,32.0,vllm,Qwen3 32B / vLLM,A100_80GB,concurrent,reviewer,2,1.0,31198.80302809179,31198.80302809179,31248.231498338282,25.656789196091275
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,sequential,architect,2,1.0,5174.723148345947,5174.723148345947,5175.608287379146,142.5195416729948
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,sequential,coder,2,1.0,5175.011795014143,5175.011795014143,5177.623733505607,149.5628645595301
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,sequential,evaluator,2,1.0,1409.8379276692867,1409.8379276692867,1432.552184537053,165.14961021245836
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,sequential,planner,2,1.0,5601.329864934087,5601.329864934087,6056.354649923742,121.69831669829938
a100-sglang-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,sglang,Qwen3 4B / SGLang,A100_80GB,sequential,reviewer,2,1.0,5176.744062453508,5176.744062453508,5177.595844864845,143.4295212206203
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,sequential,architect,2,1.0,5400.993706658483,5400.993706658483,5412.080937810242,138.68355111295136
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,sequential,coder,2,1.0,5441.141029819846,5441.141029819846,5454.234050400555,141.6120081714024
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,sequential,evaluator,2,1.0,2039.6297425031662,2039.6297425031662,2466.076034680009,160.6017580343506
