run_tag,model,model_label,model_size_b,engine,series_label,gpu_name,run_type,category,request_count,success_rate,error_count,avg_latency_ms,p50_latency_ms,p95_latency_ms,avg_ttft_ms,avg_tokens_per_second,avg_input_tokens,avg_output_tokens,json_valid_rate,contains_expected_rate
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,batch,debugging,1,1.0,0,3056.959107518196,3056.959107518196,3056.959107518196,48.477090895175934,124.63365933256343,29.0,381.0,,
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,batch,function_calling,2,1.0,0,1387.016324326396,1387.016324326396,2276.423873566091,916.6415967047215,43.33468703588541,34.0,38.5,1.0,
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,batch,json_extraction,1,1.0,0,2195.2718682587147,2195.2718682587147,2195.2718682587147,1891.0526670515537,12.754684467491284,35.0,28.0,1.0,
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,batch,rag,2,1.0,0,1332.1743663400412,1332.1743663400412,2322.8307796642184,1160.0838117301464,62.439502834016075,51.0,23.5,,0.0
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,batch,summarization,1,1.0,0,536.3317541778088,536.3317541778088,536.3317541778088,45.314475893974304,124.92267981169665,46.0,67.0,,
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,concurrency_detail,classification,33,1.0,0,88.56869658285922,66.08909368515015,211.8508480489254,77.84905431397033,13.844788266905683,39.0,1.0,,
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,concurrency_detail,json_extraction,35,1.0,0,594.5537254214287,394.15452256798744,2053.4118652343745,269.3606889673642,64.11668998389048,35.0,28.0,1.0,
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,concurrency_detail,summarization,32,1.0,0,590.267387102358,565.8063180744648,749.1431942209601,77.81494781374931,114.4691434221697,46.0,66.96875,,
a100-vllm-qwen3-4b-official,Qwen/Qwen3-4B,Qwen3 4B,4.0,vllm,Qwen3 4B / vLLM,A100_80GB,single_prompt,single,1,1.0,0,2290.5857115983963,2290.5857115983963,2290.5857115983963,2057.4926398694515,6.985112986160654,20.0,16.0,1.0,
a100-sglang-qwen3-14b-official,Qwen/Qwen3-14B,Qwen3 14B,14.0,sglang,Qwen3 14B / SGLang,A100_80GB,agent_concurrent_detail,multi_agent,10,1.0,0,11597.681750357151,13500.273125246167,14226.942643150685,220.26745416224003,53.235578199495606,42.2,600.5,,
