model,model_label,concurrency,vllm_requests_per_second,sglang_requests_per_second,sglang_vs_vllm_rps_ratio,vllm_p95_latency_ms,sglang_p95_latency_ms,sglang_vs_vllm_p95_ratio,vllm_avg_ttft_ms,sglang_avg_ttft_ms,sglang_vs_vllm_ttft_ratio
Qwen/Qwen3-14B,Qwen3 14B,1,0.8755808494688408,0.9843534516971436,1.1242290786673648,2667.1525947749615,1901.4068618416786,0.7128976668101392,244.6161463856697,142.29957722127438,0.5817260198225847
Qwen/Qwen3-14B,Qwen3 14B,3,1.8893185323280086,2.1418355944104825,1.1336551024941908,2067.3173367977142,2123.8530911505222,1.0273474001047087,216.2895175317923,155.7266153395176,0.7199915054442128
Qwen/Qwen3-14B,Qwen3 14B,5,3.3193767673266237,3.4860252290228,1.0502047442569746,2113.7145198881626,2127.152092754841,1.0063573262804615,140.77824264764786,118.18140476942062,0.8394862909690911
Qwen/Qwen3-14B,Qwen3 14B,10,6.234996420070357,6.603538027845351,1.059108551624611,2271.2796963751316,2329.9053609371185,1.0258117327670173,148.2858169823885,102.01361656188965,0.6879526217534717
Qwen/Qwen3-4B,Qwen3 4B,1,2.058529919545639,2.5532976229599025,1.2403500180961515,1985.5869375169277,1371.833000332117,0.690895459882336,208.39167274534702,133.13177563250065,0.6388536253806391
Qwen/Qwen3-4B,Qwen3 4B,3,4.521282104509665,4.7322077336104185,1.0466517293602118,632.6477043330669,1101.9360572099686,1.7417846451709207,163.81156345208487,169.64371601740518,1.0356028136379165
Qwen/Qwen3-4B,Qwen3 4B,5,6.737143162366696,8.651302675353836,1.2841203558920238,674.3997558951378,680.1782511174679,1.0085683530751879,145.25919631123543,89.03592348098755,0.6129451748460545
Qwen/Qwen3-4B,Qwen3 4B,10,12.845617920767632,14.905918561895634,1.1603893758818014,751.3331323862076,821.104496717453,1.092863420131166,126.28302298486233,86.07560008764267,0.6816086442431826
