model,engine,gpu_name,category,concurrency,count,success_rate,avg_latency_ms,p50_latency_ms,avg_ttft_ms,avg_tokens_per_second,avg_input_tokens,avg_output_tokens,json_valid_rate,contains_expected_rate
Qwen/Qwen3-14B,vllm,A100_80GB,summarization,3,5,1.0,1981.7115135490894,1965.2703516185284,80.67637160420418,48.96430469439597,46.0,97.0,,
Qwen/Qwen3-14B,vllm,A100_80GB,summarization,5,8,1.0,2015.058538876474,1996.9256538897753,71.62310788407922,48.65909665049071,46.0,98.0,,
Qwen/Qwen3-14B,vllm,A100_80GB,summarization,10,16,1.0,2105.2249153144658,2077.4348359555006,110.01105909235775,46.46707252249935,46.0,97.6875,,
Qwen/Qwen3-32B,vllm,A100_80GB,classification,1,3,1.0,296.8512997031212,294.46860030293465,83.872785170873,13.486373696821163,39.0,4.0,,
Qwen/Qwen3-32B,vllm,A100_80GB,classification,3,5,1.0,320.59038057923317,301.8850013613701,101.2419544160366,12.542316741064768,39.0,4.0,,
Qwen/Qwen3-32B,vllm,A100_80GB,classification,5,8,1.0,363.6901839636266,348.0257894843817,138.53244483470917,11.250234288717106,39.0,4.0,,
Qwen/Qwen3-32B,vllm,A100_80GB,classification,10,17,1.0,384.09615899710093,355.3599379956722,154.84343096613884,10.678725349828136,39.0,4.0,,
Qwen/Qwen3-32B,vllm,A100_80GB,json_extraction,1,4,1.0,2342.9832877591252,1787.2936856001616,644.4231076166034,13.503010341162215,35.0,28.0,1.0,
Qwen/Qwen3-32B,vllm,A100_80GB,json_extraction,3,5,1.0,2325.588447600603,1836.951483041048,571.2373346090317,13.50561217224934,35.0,28.0,1.0,
Qwen/Qwen3-32B,vllm,A100_80GB,json_extraction,5,9,1.0,2148.5851055218113,1897.3204344511032,370.44677717818155,13.859345080531012,35.0,28.0,1.0,
Qwen/Qwen3-32B,vllm,A100_80GB,json_extraction,10,17,1.0,2100.5210067857715,1941.8408833444118,293.3774711016346,13.8025124507111,35.0,28.0,1.0,
Qwen/Qwen3-32B,vllm,A100_80GB,summarization,1,3,1.0,3355.5117982129254,3353.0196845531464,81.39848709106445,24.139499237926998,46.0,81.0,,
Qwen/Qwen3-32B,vllm,A100_80GB,summarization,3,5,1.0,3473.221369087696,3458.833694458008,109.7017265856266,23.326111100312165,46.0,81.0,,
Qwen/Qwen3-32B,vllm,A100_80GB,summarization,5,8,1.0,3543.7276791781187,3541.7215786874294,131.6675036214292,22.861687215568356,46.0,81.0,,
Qwen/Qwen3-32B,vllm,A100_80GB,summarization,10,16,1.0,3627.34315241687,3610.0532077252865,160.30126996338367,22.342725022878177,46.0,81.0,,
Qwen/Qwen3-4B,sglang,A100_80GB,classification,1,3,1.0,35.920001566410065,35.79884022474289,29.282855490843456,27.890870902925712,39.0,1.0,,
Qwen/Qwen3-4B,sglang,A100_80GB,classification,3,5,1.0,150.48622861504555,48.09598997235298,143.50423216819763,17.533366764319524,39.0,1.0,,
Qwen/Qwen3-4B,sglang,A100_80GB,classification,5,8,1.0,66.08422845602036,51.83643288910389,57.24141327664256,16.712057996837437,39.0,1.0,,
Qwen/Qwen3-4B,sglang,A100_80GB,classification,10,17,1.0,78.39591275243198,75.48300549387932,65.08229979697396,13.851653886532977,39.0,1.0,,
Qwen/Qwen3-4B,sglang,A100_80GB,json_extraction,1,4,1.0,577.896025031805,313.30902874469757,290.70856515318155,72.14170495676584,35.0,28.0,1.0,
Qwen/Qwen3-4B,sglang,A100_80GB,json_extraction,3,5,1.0,649.7316025197506,373.8491088151932,222.85335510969162,63.33962494151226,35.0,28.0,1.0,
Qwen/Qwen3-4B,sglang,A100_80GB,json_extraction,5,9,1.0,502.8956664933099,412.5964120030403,151.3919486767716,64.80254500049777,35.0,28.0,1.0,
Qwen/Qwen3-4B,sglang,A100_80GB,json_extraction,10,17,1.0,553.5172692993108,510.5578601360321,125.06155165679314,54.77734956605716,35.0,28.0,1.0,
Qwen/Qwen3-4B,sglang,A100_80GB,summarization,1,3,1.0,482.32439160346985,481.90297558903694,26.8783097465833,138.91103327265114,46.0,67.0,,
Qwen/Qwen3-4B,sglang,A100_80GB,summarization,3,5,1.0,664.2812296748161,571.6777294874191,142.57356077432632,109.15895820509172,46.0,67.0,,
Qwen/Qwen3-4B,sglang,A100_80GB,summarization,5,8,1.0,624.0737969055772,633.572056889534,50.67990534007549,107.28266816982632,46.0,66.5,,
